Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3949|6000023|670|5|INICIA EL 02 DE SEPTIEMBRE DE 2025 MOTIVO DEL CUAL SE DECLARA ESTE ULTIMO.|1|2026-01-28 11:49:01|
1680|6000840|800|1|NACIONALIZACION DEL PEDIMENTO F2: 25-24-1680-5092154ESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DE|1|2026-01-23 14:22:02|
3147|5023950|650|4|OACTUALIZACION CONFORME AL NUEVO OFICIO NO. (500-00-00-00-00-20255374) CUYA VIGENCIAINICIA.EL 02 DE SEPTIEMBRE DE 2025,|1|2026-01-07 08:40:01|
1680|5005525|230|4|RANCELARIA 9803.00.01.00 PEDIMENTO CONSOLIDADO. FACTOR INCREMENTABLE DEL MES DE DICIEMBRE FLETES 0.05319 SEGUROS 0.00001|1|2026-01-08 13:06:00|
3147|5005610|850|4|E OPERACION, BAJO EL OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2025|1|2026-01-26 19:51:12|
3147|6001761|470|7|7700489-62027814489-62028190489-62028433489-62029041489-62029170489-62029284489-6202939158381894316529380325687833171477|2|2026-01-30 17:29:02|
1680|6000844|800|2|VAMENTE DE CONFORMIDAD CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL MANUAL DE OPE|1|2026-01-21 15:46:01|
3147|6001206|470|1|AREA PD.PLANTA: 05008TIPO DE MATERIAL:PROTOTIPOESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSIT|2|2026-01-20 16:41:02|
3147|5038222|470|2|ION DE DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE|1|2026-01-27 13:49:03|
1680|6002495|800|1|ESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-00-00-2025-5374 OTORGADO|1|2026-01-23 15:46:03|
3147|6001388|470|4|NCOTERM: FCA FACTOR INCREMENTABLE DEL MES DE ENERO :  0.10194SEGUROS: 0.0000100FLETES: 0.1019300|1|2026-01-26 16:05:02|
3129|6000613|240|19|LA LEY ADUANERA SE RECTIFICA METODO DE VALORACION DE LAS PARTIDAS DICE 1 DEBE DECIR 6|2|2026-01-21 16:01:11|
3147|5038481|470|13|93C-35153107992B,C94336E8-1D79-4DF0-ACB9-67A3F8208E9C,EBBBB871-4EF7-4F88-AB1B-B9937C6B55F2UUID CARTA PORTE:1EC5370C-5B63|1|2026-01-29 19:09:00|
1680|6011267|240|4|N VII DE LA LEY DE TENENCIANODRIZA SIN SELLO FISCAL|1|2026-01-23 16:59:08|
1680|6011286|240|4|CCION VII DE LA LEY DE TENENCIA|1|2026-01-31 14:41:03|
1869|6000036|180|1|PE 13DE CONFORMIDAD CON EL ART. 36 DE LA LEY ADUANERA SE ANEXA AL PRESENTE, BL REVALIDADO Y FACTURA COMERCIAL. SE EFECTU|1|2026-01-21 16:06:00|
1680|6011283|240|4|N VII DE LA LEY DE TENENCIANODRIZA SIN SELLO FISCAL|1|2026-01-30 17:53:04|
1680|6002499|800|7|DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL DE LOS LINEAMIENTOS DE FUNCIONES A CARGO DE LA ADMIN|1|2026-01-27 14:44:00|
1669|5023109|430|3|388 PIEZAS VIAJAN DENTRO DEL CONTENEDOR MRSU5734600FORD MOTOR COMPANY SA DE CV /   500 PIEZAS VIAJAN DENTRO DEL CONTENE|1|2026-01-02 16:46:00|
1669|5003243|510|6|EZAS VIAJAN DENTRO DEL CONTENEDOR UACU5657398FORD MOTOR COMPANY S.A. DE C.V. / 3552 PIEZAS VIAJAN DENTRO DEL CONTENEDOR|1|2026-01-07 17:18:01|
1680|6024640|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-28 12:35:14|
3949|6000020|670|1|PLANTA: EF18A TIPO DE MATERIAL: SCRAP DE MATERIAL PRODUCTIVO EL IMPORTADOR CUENTA CON AUTORIZACION DE DEPOSITO FISCAL PA|1|2026-01-26 13:42:00|
1680|6011267|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2541-BT3842-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-23 16:59:08|
1680|6002467|800|2|VAMENTE DE CONFORMIDAD CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL MANUAL DE OPE|1|2026-01-21 15:15:04|
3147|6000328|850|10|9-4410-BE93-9D7BCC3D3444,FF45017F-D26A-4DDF-A2B5-7FF24B4921A9LA PRESENTE OPERACION SE EFECTUA DE CONFORMIDAD DEL ARTICUL|2|2026-01-21 12:46:09|
3949|6000024|670|5|NICIA EL 02 DE SEPTIEMBRE DE 2025 MOTIVO DEL CUAL SE DECLARA ESTE ULTIMO.|1|2026-01-28 11:56:00|
1680|5031277|800|6|NORA. C.P. 83200 RFC FMO8304236C5 DFA: 326SAT57813GSDB CODE: GPB60PLANTA: AP24A|1|2026-01-13 10:44:01|
1680|5005477|230|2|LOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS RGCE VIGENTES, OFICIO NO. NO. 500-00-00-00-00-2025-5374 CUYA V|1|2026-01-06 19:04:02|
3949|6000016|670|1|SE NACIONALIZA MERCANCIA CORRESPONDIENTE AL PEDIMENTO ORIGINAL NUMERO 25 07 3949 5104764.PLANTA 1208 TIPO DE MATERIAL: N|1|2026-01-22 11:38:01|
1680|6002507|800|4|ERAL DE ADUANAS QUE HABRAN DE APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA, DEL MANUAL DE OPERAC|1|2026-01-30 15:24:02|
1680|5031253|800|7|DE CV, FMO8304236C5, BOULEVARD HENRY FORD, 33, ESQ LINCOLN PARQUE INDUSTRIAL DYNATECH, HERMOSILLO, C.P. 83299, SONORA, M|1|2026-01-28 12:58:02|
1680|6002513|800|1|NACIONALIZACION DEL PEDIMENTO F2: 26-24-1680-5092192PARA IMPORTARSE DEFINITIVAMENTE DE CONFORMIDAD CON EL ART.120 FRACCI|1|2026-01-30 12:51:00|
1869|6000035|180|8|IONES LAS MERCANCIAS PARA LOS PROCESOS DE TRANSFORMACION, ENSAMBLE O REPARACION. PLANTA DESTINO: 1309D NATIONAL MATERIAL|1|2026-01-21 16:02:00|
1680|5031252|800|1|OPERACION REALIZADA AL AMPARO DE LA REGLA 4.3.21.ESTA OPERACION SE RELACIONA CON EL PEDIMENTO DE EXPORTACION: 25 80 6012|1|2026-01-28 12:58:01|
3147|5038647|470|4|IGENTES, ART. 37 Y 37-A DE LA LEY ADUANERA.PEDIMENTO CONSOLIDADO DEL 01 AL 31 DE DICIEMBRE DEL 2025.UUID CARTA PORTE:1D3|1|2026-01-09 13:39:01|
3949|5005338|160|2|DENTIFICADAS A NIVEL INDIVIDUAL MEDIANTE NUMERO DE PARTE Y/O CODIGO. E-DOCUMENTS : 0170251801DG1, 0170251801EP6, 0170251|1|2026-01-09 08:40:01|
1680|6002502|800|1|PLANTA: AP23ATIPO DE MATERIAL: SCRAP DE MATERIAL PRODUCTIVOEL IMPORTADOR CUENTA CON AUTORIZACION DE DEPOSITO FISCAL PARA|1|2026-01-26 13:32:00|
1669|6001813|810|12|EPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGL|1|2026-01-30 11:25:01|
3147|6001325|470|9|L 15 DE NOVIEMBRE DEL 2029AREA PD    PLANTA: 05008   TIPO DE MATERIAL: PROTOTIPOINCOTERM: FCAFACTOR INCREMENTABLE DEL ME|1|2026-01-21 17:57:01|
3147|5038781|470|16|434-4DE4-409A-A6C4-9BFB2F001B29,68E06B21-4958-441D-B783-D264E0AEA32E,739F856B-B9CA-4E62-8577-39806CE860BD,92156ADF-41A1-|1|2026-01-29 22:00:01|
1680|6002464|800|5|00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENCIA DEL 02 DE SEPTIEMBRE DEL 2025 AL 15 DE NOVIEMBRE DEL 202|1|2026-01-21 15:15:03|
1680|6011272|240|4|N VII DE LA LEY DE TENENCIANODRIZA SIN SELLO FISCAL|1|2026-01-26 18:32:03|
3569|5000186|120|10|412;96014563;20-08-2025;COVE257UPFVU4;EUR;27,565.630 FACTR: FACIL EUROPE BV;BE 0469 459 412;96014564;20-08-2025;COVE257U|1|2026-01-05 09:31:02|
3949|5003053|672|5|PEDIMENTO CONSOLIDADO 1 AL 31 DE DICIEMBRE DE 2025. LA PRESENTE OPERACION SE EFECTUA BAJO CONFORMIDAD CON LAS REGLAS 1.9|1|2026-01-08 12:27:00|
3147|5038653|470|11|DD810132E0CD,1A2DD06F-3B3C-429F-ADAE-7506917D44D1,2FF3D694-F3DF-44E0-8160-52BBD29E25F3,5BFF6CD2-0A4F-42FF-B309-3FB2306B9|1|2026-01-29 22:06:01|
1680|6011274|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2441-BT3847-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-28 17:59:01|
1680|6002504|800|7|ALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL  NO. 500-00-00-00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DE|1|2026-01-28 17:10:06|
1680|6011268|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2521-BT3840-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-23 16:59:09|
1680|6011282|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2440-BT3850-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-30 17:41:02|
3147|6001397|470|3|PRODUCCION DE ALGUNO DE LOS BIENES DEL ARTICULO 4 DE DICHO ORDENAMIENTO. PARA IMPORTARSE DEFINITIVAMENTE DE CONFORMIDAD|1|2026-01-23 18:30:02|
1680|5005485|230|3|E LAS RGCE VIGENTES  10-H1 PLANTA HERMOSILLO|1|2026-01-06 13:18:03|
1680|5000086|270|3|O. 500-00-00-00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENCIA AL 15 DE NOVIEMBRE DE 2029. LA PRESENTE OPE|1|2026-01-06 18:36:01|
3147|5038481|470|2|ION DE DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE|1|2026-01-29 19:09:00|
1680|6011278|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-30 18:41:06|
3147|5038481|470|14|-413D-B93C-35153107992B,C94336E8-1D79-4DF0-ACB9-67A3F8208E9C,EBBBB871-4EF7-4F88-AB1B-B9937C6B55F2|1|2026-01-29 19:09:00|
1680|6002499|800|4|NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 02 DE SEPTIEMBRE DE 2025, MOTIVO POR EL CUAL SE DECLARA ESTE ULTIM|1|2026-01-27 14:44:00|
3949|6032961|160|4|DADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA, DEL MANUAL DE OPERACION ADUANARA EN VIGOR. SE HACE REFERENCIA A L|1|2026-01-21 17:33:06|
3147|6001388|470|2|DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGE|1|2026-01-26 16:05:02|
3569|5025866|232|14|04;07-12-2025;COVE257V4FC12;USD;190,775.590 FACTR: LEAR CORPORATION;382446360;7786881;08-12-2025;COVE257V56498;USD;47,62|1|2026-01-05 14:40:01|
1680|5031274|800|5|-00-00-2025-5374EMPRESA QUE RECIBE: FORD MOTOR COMPANY S.A. DE C.V. CARR. A LA COLORADA, PARQUE INDUSTRIAL HERMOSILLO, S|1|2026-01-08 16:47:01|
3147|5038781|470|14|8577-39806CE860BD,92156ADF-41A1-40FA-B0C1-EBDEC56B48C9UUID CARTA PORTE:0327E434-4DE4-409A-A6C4-9BFB2F001B29,68E06B21-495|1|2026-01-29 22:00:01|
1869|6000052|180|1|PE 13DE CONFORMIDAD CON EL ART. 36 DE LA LEY ADUANERA SE ANEXA AL PRESENTE, BL REVALIDADO Y FACTURA COMERCIAL. SE EFECTU|1|2026-01-27 16:41:01|
3949|6000023|670|2|RA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS R|1|2026-01-28 11:49:01|
3147|6001325|470|10|S DE ENERO: 0.10194SEGUROS: 0.0000100FLETES: 0.1019300LA PARTIDA 6 Y 7 DE LA PRESENTE OPERACION SE EFECTUA DE CONFRMIDAD|1|2026-01-21 17:57:01|
3129|6000613|240|12|EL MEXICO SA DE CV,VIALIDAD EL PUEBLITO NO.104 SANTA ROSA DE JAUREGUI QRTO. CP.76220 BENTELER DE MEXICO SA DE CV CALLE A|2|2026-01-21 16:01:11|
3147|6000328|850|12|18003 EL PROVEEDOR NTN MANUFACTURING (THAILAND) CO., LT DICE A. PLUAKDAENG SN SN SN C.P 21140 RAYONG SN TAILANDIA (REINO|2|2026-01-21 12:46:09|
3949|5060520|070|5|LA MERCANCIA OBJETO DE LA PRESENTE OPERACION, BAJO EL OFICIO NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 2 DE|1|2026-01-02 18:23:00|
3949|5060532|071|3|INICIA EL 02 DE SEPTIEMBRE DE 2025 AL 15 DE NOVIEMBRE DEL 2029. SE HACE LA OPERACION AL AMPARO DE LA NORMA 14 DEL MOA Y|1|2026-01-08 14:45:04|
1680|6002458|800|1|NACIONALIZACION DEL PEDIMENTO F2: 25 24 1680 5014089EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-20 15:49:03|
3949|6000020|670|3|GCE VIGENTES MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENTE OPERACION BAJO E|1|2026-01-26 13:42:00|
1680|6011254|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-20 18:30:09|
3147|6000328|850|8|PORTE:07132B21-EBF5-4059-9DB9-8500AA779D04,21E5025D-A1A1-479B-849B-30CDB4D3BD02,948088D3-B948-4064-8149-63B5053FF3D9,CD9|2|2026-01-21 12:46:09|
3949|6000016|670|4|UE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENTE OPERACION, BAJO EL OFICIO NO. 500-00|1|2026-01-22 11:38:01|
3147|6001014|650|5|RA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE DE LOS LINEAMIENTOS DE FUNCIONES A CA|1|2026-01-20 11:43:01|
3376|6001547|240|52|HARMAN BECKER AUTOMOTIVE SYSTEMS, I AV. INDUSTRIA MINERA 502 QUERETARO 76220|2|2026-01-16 10:05:08|
1669|5000226|810|3|LAS REGULACIONES Y RESTRICCIONES NO ARANCELARIAS SE REALIZARAN AL MOMENTO DE LA EXTRACCION.|1|2026-01-08 15:17:01|
3949|6032961|160|5|OS DEMAS ALMACENES AUTORIZADOS PARA TENER EN SUS INSTALACIONES LAS MERCANCIAS PARA LOS PROCESOS DE TRANSFORMACION, ENSAM|1|2026-01-21 17:33:06|
1680|6024631|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-23 18:47:02|
3147|5005609|850|6|B1E2-E2AA-475F-B2A2-C6DDAFBE7227,2DB68BB5-F8EB-4B1A-B8A7-4CFF299CCD5B,5CE68E26-2ED0-4571-873B-F2877846B564,7D2F9D65-4937|1|2026-01-20 14:43:15|
3147|5038781|470|11|D264E0AEA32E,739F856B-B9CA-4E62-8577-39806CE860BD,92156ADF-41A1-40FA-B0C1-EBDEC56B48C9UUID CARTA PORTE:0327E434-4DE4-409|1|2026-01-29 22:00:01|
1680|6002488|800|3|IMENTO: 25-80-1680-5018130 FACTOR INCREMENTABLES: 0.10194 PLANTA: 1602 TIPO DE MATERIAL: NO PRODUCTIVO|1|2026-01-21 15:34:01|
1669|6900440|510|3|ICULOS DE AUTOTRANSPORTE DE LOS LINEAMIENTOS DE FUNCIONES A CARGO DE LA ADMINISTRACION GENERAL DE ADUANAS QUE HABRAN DE|2|2026-01-28 15:44:01|
3949|5000177|670|7|00-00-00-00-00-2025-5374 EMPRESA QUE RECIBE: PLANTA DE MOTORES DE CHIHUAHUA AV. CRISTOBAL COLON FONTANARROSA, 13100, COM|1|2026-01-12 16:53:00|
3949|5060542|071|3|VIGENTES, MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENTE OPERACION, BAJO EL|1|2026-01-10 12:39:01|
1733|6002732|640|2|EL 22 DE AGOSTO DEL 2025, CON VIGENCIA DEL 02 DESEPTIEMBRE DEL 2025 AL 15 DE NOVIEMBRE DEL 2029.CAMBIO DE REGIMEN PEDIME|1|2026-01-28 17:50:03|
1680|6024624|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-20 18:31:03|
3147|5038781|470|4|A PRESENTE OPERACION, BAJO EL OFICIO NO.  326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-|1|2026-01-29 22:00:01|
3129|6000613|240|11|4 EL MARQUES , QRTO. CP. 76246 KOSTAL OF AMERICA INC., JURICA 304 INT.7 1A SECCCION , QUERETARO QRTO. CP 76220 MANN+HUMM|2|2026-01-21 16:01:11|
3147|6001325|470|6|GO DE LA ADMINISTRACION GENERAL DE ADUANAS QUE HABRAN DE APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA|1|2026-01-21 17:57:01|
1680|6011280|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-30 18:41:08|
1680|6011231|240|1|FACTURAS CON MAS DE 15 CARACTERES: TTGX698802-465836-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-12 18:09:08|
3129|5026337|240|9|TO DE LA IND. NORTE NO. 6 LERMA ESTADO DE MEXICO CP.52000 BORWARNER AUTOMOTIVE, RIO DANUBIO NO.303, IRAPUATO GUANAJUATO|1|2026-01-14 09:03:03|
3147|5005612|850|2|E DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA R|1|2026-01-26 19:52:11|
1680|6011259|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-22 18:35:09|
1680|6011261|240|1|FACTURAS CON MAS DE 15 CARACTERES: TTGX986709-A01484-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-22 18:35:10|
1680|5083929|240|2|0-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENCIA DEL 02 DE SEPTIEMBRE DEL 2025 AL 15 DE NOVIEMBRE DEL 2029|1|2026-01-19 09:16:02|
1680|6002473|800|2|VAMENTE DE CONFORMIDAD CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL MANUAL DE OPE|1|2026-01-21 15:15:06|
1669|6001813|810|13|A 4.5.30 DE LAS RGCE VIGENTES, MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENT|1|2026-01-30 11:25:01|
1680|6011232|240|1|FACTURAS CON MAS DE 15 CARACTERES: GTW 504276-A00623-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-12 18:09:09|
1680|6002462|800|1|NACIONALIZACION DEL PEDIMENTO F2: 24 24 1680 4044426EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-14 13:26:02|
3147|6001369|470|4|ABLE DEL MES DE ENERO: 0.10194SEGUROS : 0.0000100 FLETES:   0.1019300|1|2026-01-23 12:03:01|
1680|6002458|800|4|ICULOS DE AUTOTRANSPORTEESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-|1|2026-01-20 15:49:03|
1680|6024628|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-21 14:03:02|
3129|6000603|240|13|CACIAS NAVE 10,CUAUTLANCINGO, PUEBLA CP.72710 CLARTON HORN MEXICO S DE RL DE CV ,AV. DE LA CRUZ NO. 103 SANTIAGO, QRTO.|2|2026-01-21 12:03:03|
1669|6900408|510|4|E APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA DEL MANUAL DE OPERACION ADUANERA EN VIGOR.|1|2026-01-19 13:28:02|
3949|6000015|670|2|RA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS R|1|2026-01-22 11:37:01|
3147|5005617|850|10|-42F5-A8C5-C1A9DA66D7A3,E7B8DCC3-41F2-4A7E-9240-B0A6080E9A00,E86B28A0-3BEA-40FB-ABA5-CA28946EC518|1|2026-01-08 16:53:05|
3949|5001067|070|7|3EF-EA7B-4150-BB1F-8D56B3471E04. , 472D7970-32C9-41E2-BB97-40DB10674316. , 480A4C96-0A39-412F-9CEE-9A3F07D20971. , 4BA36|1|2026-01-05 18:07:01|
3949|6000020|670|4|L OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA|1|2026-01-26 13:42:00|
3147|5038653|470|5|0-00-2025-5374 CUYA VIGENCIA INICIA EL 02 DE SEPTIEMBRE DE 2025, MOTIVO POR EL CUAL SE DECLARA ESTE ULTIMO.EL FACTOR DE|1|2026-01-29 22:06:01|
3147|6001323|470|5|7 DE LAS RGCE, ASI COMO EL ARTICULO 2A, FRACCION I, INCISO I Y EL ART 9, FRACCION III DE LA LEY DEL IMPUESTO AL VALOR AG|1|2026-01-21 18:03:01|
3147|5005608|850|4|ENTE OPERACION, BAJO EL OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2|1|2026-01-20 14:03:06|
1669|6001813|810|5|MINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA/, DEL MANUAL DE OPERACION ADUANERA EN VIGOR.PEDIMENTO F2: 26 81 1669 50070|1|2026-01-30 11:25:01|
3147|5005610|850|7|5CF-BE42-140FC48D73E9,F62D77F1-AF5A-4C2D-A63C-EACAC57347C2|1|2026-01-26 19:51:12|
3949|5060538|071|7|SEPTIEMBRE DE 2025, MOTIVO POR EL CUAL SE DECLARA ESTE ULTIMO LAS SUBPARTIDAS DE ESTE PEDIMENTO QUEDAN AMPARADAS BAJO LA|1|2026-01-06 14:21:01|
1680|5005498|230|6|JETO DE LA PRESENTE OPERACION, BAJO EL OFICIO NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 2 DE SEPTIEMBRE DE 2|1|2026-01-07 12:19:02|
3949|6000022|670|2|LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DEVEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS RGCE|1|2026-01-28 11:40:01|
3147|6000328|850|4|326-SAT-57813  Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 0|2|2026-01-21 12:46:09|
1680|6011272|240|2|EHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE PAGO|1|2026-01-26 18:32:03|
1680|6011254|240|4|CCION VII DE LA LEY DE TENENCIA|1|2026-01-20 18:30:09|
3147|6001294|470|4|MES DE ENERO: 0.10194FLETES: 0.10193SEGURO: 0.00001|1|2026-01-22 12:41:01|
1680|5031265|800|2|ENAJENA:FLEXTRONICS INTERNATIONAL EUROPE B.V. STH, NL807985752B01, NOBELSTRAAT, 10, INT. 14, GA OOSTRUM LB, C.P. 5807,N|1|2026-01-27 17:00:03|
1680|6005538|230|1|EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITIVAMENTE DE CONFORMIDAD CON EL ART. 120 FRACCION I DE|1|2026-01-08 20:51:01|
3147|5009514|521|4|2 DEL 22/12/2025EXPORTACION DE MATERIAL PROTOTIPO 1308LA PRESENTE OPERACION DE EFECTUA DE CONFORMIDAD CON LAS REGLAS 1.9|1|2026-01-08 18:32:02|
1680|5031298|800|5|O. 100, JUAREZ ESTADO DE MEXICO. C.P. 53126. RFC: FMO8304236C5. NUMERO DE AUTORIZACION DE DEPOSITO FISCAL: 500-00-00-00-|1|2026-01-29 16:53:02|
1680|6011280|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-30 18:41:08|
1680|5031265|800|8|FUBCH PLANTA: AP24A|1|2026-01-27 17:00:03|
3129|6000603|240|18|MS DEE MEXICO S DE, RIO MISSISSIPI NO. 191 IRAPUATO, GTO. CP.36815  RECITIFICACION DE CONFORMIDAD CON EL ARTICULO 89 DE|2|2026-01-21 12:03:03|
3949|6032961|160|7|ARRETERA A SAHUARIPA #370 3322 PARQUE INDUSTRIAL 83299 HERMOSILLO MEXICONUMERO DE PLANTA 1309R|1|2026-01-21 17:33:06|
3129|6000613|240|16|N SA DE CV ,CALLE EJE 114 NO.285, SAN LUIS POTOSI CP.78395 CITIC DICASTAL CO. LTD., NO.189 BODEGAS B-C PREMIUM PAR, SILA|2|2026-01-21 16:01:11|
1680|6011225|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-09 19:07:07|
